"","iso_ter","country","total_area","protected_area","percent_protected","pc_gdp_2016","ecosystem"
"332","MRT","Mauritania","1.86158E-05","1.55132E-05",83.33339847,1690.813,"seagrasses"
"333","MUS","Mauritius","132.3056058","4.34373E-05",3.2831e-05,9967.673,"seagrasses"
"334","MYS","Malaysia","540.556782","98.8692416",18.29026013,9523.316,"seagrasses"
"335","NGA","Nigeria","8829.355773","1.148234339",0.013004735,2177.988,"seagrasses"
"336","NIC","Nicaragua","5532.423809","914.113881",16.52284627,2091.463,"seagrasses"
"337","NLD","Netherlands","1.122541864","1.122535659",99.99944721,46936.707,"seagrasses"
"338","NOR","Norway","62.27841769","11.98408999",19.24276569,70629.25,"seagrasses"
"339","NZL","New Zealand","0.000158236","2.17184E-05",13.72534361,39453.17,"seagrasses"
"340","OMN","Oman","4.96432E-05","6.20542E-06",12.50005862,17020.387,"seagrasses"
"341","PAN","Panama","1791.345207","91.36694576",5.100465584,14866.506,"seagrasses"
"342","PHL","Philippines","14945.98472","4339.651048",29.0355646,3107.646,"seagrasses"
"343","PLW","Palau","727.4328449","720.3429449",99.02535332,17182.471,"seagrasses"
"344","PNG","Papua New Guinea","9226.265389","1107.79264",12.00694532,2245.439,"seagrasses"
"345","POL","Poland","2.65949332","2.659487114",99.99976667,12455.033,"seagrasses"
"346","PRI","Puerto Rico","600.6546","123.3863557",20.54198132,30585.55,"seagrasses"
"347","PRT","Portugal","0.038047462","0.001721384",4.524307752,19914.852,"seagrasses"
"348","QAT","Qatar","1147.194976","87.71274955",7.645844983,57965.377,"seagrasses"
"349","ROU","Romania","1.55133E-05","1.24106E-05",79.99986005,9379.115,"seagrasses"
"350","RUS","Russian Federation","680.042559","15.41743948",2.26712862,8689.358,"seagrasses"
"351","SAU","Saudi Arabia","20983.36203","331.5316967",1.579974154,21515.651,"seagrasses"
"352","SDN","Sudan","4439.92729","3.10266E-06",6.98809e-08,1638.638,"seagrasses"
"353","SEN","Senegal","1482.058494","482.2959352",32.54230094,1269.553,"seagrasses"
"354","SGP","Singapore","127.0494055","0",0,57005.574,"seagrasses"
"355","SLB","Solomon Islands","1253.887969","167.1690763",13.3320584,2080.758,"seagrasses"
"356","SLE","Sierra Leone","4411.132434","1.177889234",0.02670265,823.87,"seagrasses"
"357","SOM","Somalia","9.30805E-06","0",0,558.643,"seagrasses"
"358","SUR","Suriname","6.20529E-06","3.10263E-06",49.99973875,5762.414,"seagrasses"
